Date,IndexValue
2015-2-1,301261.8858
2015-3-1,296546.0923
2015-4-1,303500.845
2015-5-1,304546.3474
2015-6-1,297464.9405
2015-7-1,302804.4386
2015-8-1,282766.4934
2015-9-1,272336.7877
2015-10-1,293917.9235
2015-11-1,292455.4702
2015-12-1,287314.8815
2016-1-1,270126.4628
2016-2-1,268116.0677
2016-3-1,286310.1304
2016-4-1,290840.5982
2016-5-1,292474.092
2016-6-1,289196.8368
2016-7-1,301414.9421
2016-8-1,301665.4443
2016-9-1,303267.8805
2016-10-1,297398.7437
2016-11-1,301675.0741
2016-12-1,308893.6577
2017-1-1,316348.8409
2017-2-1,325125.4743
2017-3-1,328588.693
2017-4-1,333454.0353
2017-5-1,340508.0833
2017-6-1,341818.1818
2017-7-1,349998.7245
2017-8-1,350491.566
2017-9-1,358358.0881
2017-10-1,365130.5124
2017-11-1,373041.9948
2017-12-1,378086.8595
2018-1-1,398049.8709
2018-2-1,381559.7079
2018-3-1,373243.0726
2018-4-1,377532.0302
2018-5-1,379897.8349
2018-6-1,379716.5907
2018-7-1,391576.4803
2018-8-1,396421.4151
2018-9-1,398628.7427
2018-10-1,369358.3113
2018-11-1,373554.1596
2018-12-1,345149.8358
2019-1-1,372004.5279
2019-2-1,383190.6508
2019-3-1,388223.6536
2019-4-1,401989.7962
2019-5-1,378794.6175
2019-6-1,403755.2374
2019-7-1,405755.1736
2019-8-1,397455.6296
2019-9-1,405913.9058
2019-10-1,416243.3596
2019-11-1,427835.8471
2019-12-1,440653.0404
2020-1-1,437970.9193
2020-2-1,400951.309
2020-3-1,347888.3326
2020-4-1,385893.1157
2020-5-1,404534.9319
2020-6-1,415235.2922
2020-7-1,435100.7302
2020-8-1,464171.6782
2020-9-1,448158.1582
2020-10-1,434410.8925
2020-11-1,489955.3586
2020-12-1,510727.8467
2021-1-1,505651.9244
2021-2-1,518608.9092
2021-3-1,535864.0987
2021-4-1,560803.2907
2021-5-1,568881.9234
2021-6-1,577360.9898
2021-7-1,587703.1982
2021-8-1,602330.1553
2021-9-1,577321.0676
2021-10-1,610020.8539
2021-11-1,596653.4868
2021-12-1,622154.5231
2022-1-1,589235.8024
2022-2-1,574333.2802
2022-3-1,590094.9587
2022-4-1,541073.754
2022-5-1,541483.5624
2022-6-1,494579.1907
2022-7-1,533846.9437
2022-8-1,511527.9487
2022-9-1,463976.4038
2022-10-1,497295.877
2022-11-1,531873.0908
2022-12-1,509285.8646
2023-1-1,545320.94
2023-2-1,532212.2381
2023-3-1,548657.4408
2023-4-1,558275.1188
2023-5-1,552701.6358
2023-6-1,586127.802
2023-7-1,605817.4803
2023-8-1,591347.0871
2023-9-1,565837.3139
2023-10-1,549419.0874
2023-11-1,600928.2867
2023-12-1,630430.4072
2024-1-1,637995.8547
2024-2-1,665045.3748
2024-3-1,686416.5046
2024-4-1,660919.7411
2024-5-1,690431.1725
2024-6-1,704479.9592
